153;Lipt.Mikuláš,,hotel Jánošík
154;Lipt.Mikuláš,,Lipt.mliekarne
155;Lipt.Mikuláš,,STOP SHOP
156;Konská,,ZŠ
157;Konská,,hájenka
158;Lipt.Ondrej,,Uličný
159;Lipt.Ondrej,,betonárka
160;Lipt.Ondrej,,rázc.
161;Lipt.Trnovec,,Krivý kút
162;Lipt.Trnovec,,ZŠ
163;Lipt.Trnovec,,rázc.
164;Malatíny,,Nižné
165;Malatíny,,Stredné
166;Malatíny,,Vyšné
167;Malatíny,,rázc.
168;Jamník,,Mokraď
169;Malé Borové
170;Malé Borové,Novoť
171;Malužiná,,Liptov
172;Malužiná,,kult.dom
173;Malužiná,,rázc.
174;Kráľova Lehota,,Michalovo Gašparík
175;Nižná Boca,,Červená Voda
176;Nižná Boca,,Záhradník
177;Partizánska Ľupča,,Kostôlok
178;Partizánska Ľupča,,Smitek
179;Partizánska Ľupča,,č.d.253
180;Partizánska Ľupča,,kult.dom
181;Partizánska Ľupča,,otoč.ŠM
182;Partizánska Ľupča,,rázc.pri stínaní
183;Pavlova Ves,,kult.dom
184;Pavčina Lehota,,Hate
185;Pavčina Lehota,,garáž
186;Podtureň,,Jednota
187;Podtureň,,žel.zast.
188;Pribylina,,Hrdovo
189;Pribylina,,Kamenná dol.
190;Pribylina,,Kokavský most
191;Pribylina,,Potôčky
192;Pribylina,,ZŠ
193;Pribylina,,garáž SAD
194;Pribylina,,pož.zbroj.
195;Pribylina,,rázc.
196;Prosiek,,č.d.26
197;Prosiek,,garáž SAD
198;Prosiek,,otoč.
199;Prosiek,,rázc.
200;Smrečany,,Širica
201;Smrečany,,kostol
202;Smrečany,,otoč.
203;Nižná Boca,,Stred.Boca Herich
204;Svätý Kríž,,Obecný úrad
205;Svätý Kríž,,Cínovisko
206;Svätý Kríž,,Vyšný koniec
207;Svätý Kríž,,ZŠ
208;Svätý Kríž,,č.d.189
209;Svätý Kríž,,rázc.
210;Malužiná,,Svidovo rázc.
211;Trstené,,otoč.
212;Uhorská Ves,,centrum
213;Vavrišovo,,OcÚ
214;Vavrišovo,,pož.zbroj.
215;Vavrišovo,,rázc.
216;Važec,,Jednota
217;Važec,,žel.nadjazd
218;Veľké Borové,,Ráztoka
219;Veľké Borové,,Salaj
220;Veľké Borové,,Škrlák
221;Veterná Poruba,,OcÚ
222;Veterná Poruba,,č.d.5
223;Vlachy,,Jednota
224;Vlachy,Krmeš,Jednota
225;Vlachy,Krmeš,pri moste
226;Vlachy,Vlašky,pri moste
227;Vlachy,,rázc.
228;Východná,,Benzinol
229;Východná,,Jednota
230;Východná,,Muráň
231;Východná,,Nahálka
232;Východná,,garáž SAD
233;Východná,,rybník
234;Východná,,žel.st.
235;Vyšná Boca,,ZŠ
236;Vyšná Boca,,Zacharovský
237;Vyšná Boca,,chata Barbora
238;Závažná Poruba,,Luhy
239;Závažná Poruba,,otoč.
240;Žiar,,Juráš
241;Žiar,,cint.
242;Žiar,,nocovňa SAD
243;Žiar,,rekr.str.
244;Žiar,Žiarska dolina
245;Čertovica,,hotel Šport
246;Ľubeľa,,Humenný
247;Ľubeľa,,Jednota
248;Ľubeľa,,lekáreň
249;Ľubeľa,,ZŠ
250;Ľubeľa,,Na Váhe
251;Ľubeľa,,rázc.
252;Demänovská Dolina,,centr.park.
253;Ľubeľa,,Sihotka
254;Ratkovo,,rázc.
255;Martin,,Hviezdoslavova ul.
256;Martin,Košúty,zdrav.str.
257;Martin,,Sever obch.dom
258;Martin,,štadión
259;Martin,,OÚNZ
260;Martin,,ul.A.Pietra
261;Martin,,aut.st.
262;Ratkovo
263;Sučany,,Dom potravín
264;Sučany,,psych.liečebňa
265;Sučany,,rozvodňa
266;Šútovo,,odb.k Šútov.vodopádom
267;Šútovo,,Rieka lom
268;Turany,,pošta
269;Šútovo,,OcÚ
270;Hubová,,Babala
271;Hubová,,pri moste
272;Kalameny,,kult.dom
273;Lúčky,,rázc.Kalameny
274;Komjatná,,Babic
275;Komjatná,,Jednota
276;Komjatná,,Kočibal
277;Komjatná,Studničná
278;Komjatná,,ZŠ
279;Likavka,,Dom dôchodcov
280;Likavka,,Domiter
281;Likavka,,Klačko
282;Likavka,,Kramariská
283;Likavka,,Nemček
284;Likavka,,hrad
285;Likavka,,rázc.
286;Likavka,,sklad BZ-Texicom
287;Lipt.Lúžna,,Brezniak
288;Lipt.Lúžna,,Hronec
289;Lipt.Lúžna,,Weiss
290;Lipt.Lúžna,,MŠ
291;Lipt.Lúžna,,bytovka RD
292;Lipt.Lúžna,,mäsna u Vesel.
293;Lipt.Lúžna,,nocovňa SAD
294;Lipt.Lúžna,,u Turončíka
295;Lipt.Osada,,Jednota
296;Lipt.Osada,Korytnica-kúpele,rázc.
297;Lipt.Osada,Korytnica-kúpele
298;Lipt.Osada,,Patočiny horáreň
299;Lipt.Osada,,RD
300;Lipt.Osada,,Skalno
301;Lipt.Osada,,č.d.113
302;Lipt.Štiavnica,,Kľučiny
303;Lipt.Štiavnica,,garáž SAD
304;Lipt.Štiavnica,,otoč.
305;Lipt.Sliače,Nižný Sliač,Bielený
